tid,big_tag,small_tag
0,生活,搞笑
1,生活,家居房产
2,生活,手工绘画
3,生活,日常
4,生活,知识
100,游戏,单机游戏
101,游戏,网络游戏
102,游戏,手机游戏
103,游戏,电子竞技
104,游戏,桌游棋牌
105,游戏,音游
106,游戏,GMV
107,游戏,Mugen
200,娱乐,综艺
201,娱乐,明星
300,影视,科学科普
301,影视,社科·法律·心理
302,影视,人文历史
303,影视,财经商业
304,影视,校园学习
305,影视,职业职场
306,影视,设计·创意
307,影视,野生技能协会
400,音乐,影视杂谈
401,音乐,影视剪辑
402,音乐,短片
403,音乐,预告·资讯
500,动画,原创音乐
501,动画,翻唱
502,动画,VOCALOID·UTAU
503,动画,电音
504,动画,演奏
505,动画,MV
506,动画,音乐现场
507,动画,音乐综合
508,动画,音频
509,动画,说唱
600,时尚,MAD·AMV
601,时尚,MMD·3D
602,时尚,短片·手书·配音
603,时尚,手办·模玩
604,时尚,特摄
605,时尚,综合
700,美食,美妆护肤
701,美食,穿搭
702,美食,时尚潮流
800,汽车,美食制作
801,汽车,美食侦探
802,汽车,美食测评
803,汽车,田园美食
804,汽车,美食记录
900,运动,汽车生活
901,运动,汽车文化
902,运动,汽车极客
903,运动,摩托车
904,运动,智能出行
905,运动,购车攻略
1000,科技,篮球·足球
1001,科技,健身
1002,科技,竞技体育
1003,科技,运动文化
1004,科技,运动综合
1100,动物圈,数码
1101,动物圈,软件应用
1102,动物圈,计算机技术
1103,动物圈,工业·工程·机械
1104,动物圈,极客DIY
1200,舞蹈,喵星人
1201,舞蹈,汪星人
1202,舞蹈,大熊猫
1203,舞蹈,野生动物
1204,舞蹈,爬宠动物综合
1300,国创,宅舞
1301,国创,街舞
1302,国创,明星舞蹈
1303,国创,中国舞
1304,国创,舞蹈综合
1305,国创,舞蹈教程
1400,鬼畜,国产动画
1401,鬼畜,国产原创相关
1402,鬼畜,布袋戏
1403,鬼畜,动态漫·广播剧
1404,鬼畜,资讯
1500,纪录片,鬼畜调教
1501,纪录片,音MAD
1502,纪录片,人力VOCALOID
1503,纪录片,鬼畜剧场
1504,纪录片,教程演示
1600,番剧,人文·历史
1601,番剧,科学·探索·自然
1602,番剧,军事
1603,番剧,社会·美食·旅行
1700,电视剧,资讯
1701,电视剧,官方延伸
1800,电影,国产剧
1801,电影,海外剧
