cvid,uid,p_time
13496640,522653994,2021-10-8
13447873,438117314,2021-10-4
13445613,2070102591,2021-10-4
13396339,477410873,2021-9-30
13383861,31700507,2021-9-29
13357333,4079592,2021-9-27
13341758,13955163,2021-9-26
13338290,31700507,2021-9-26
13299652,43905261,2021-9-23
13222753,20990353,2021-9-17
13219181,4079592,2021-9-17
13186588,20990353,2021-9-15
13179959,17236262,2021-9-14
13174021,20423027,2021-9-14
13165806,2406321,2021-9-14
13170457,11567465,2021-9-14
13026452,496580572,2021-9-5
12928016,11763802,2021-8-29
13498259,31700507,2021-10-8
13377749,123330934,2021-9-29
13381012,3668232,2021-9-29
13309574,254463269,2021-9-24
13305076,395436530,2021-9-23
13235238,236105409,2021-9-18
13221376,77876144,2021-9-17
13202243,487919299,2021-9-16
13198139,2113516,2021-9-15
13158464,2070102591,2021-9-13
13117155,236105409,2021-9-10
13108550,431648212,2021-9-10
13026650,2045581443,2021-9-4
12811118,19212824,2021-8-23
13464121,291217365,2021-10-6
13447399,522653994,2021-10-4
13428055,12799347,2021-10-3
13368533,584685158,2021-9-28
13337351,431648212,2021-9-26
13314825,526235992,2021-9-24
13286235,520681730,2021-9-22
13282778,13955163,2021-9-22
13274825,631144926,2021-9-21
13232936,477299849,2021-9-18
13033233,85297763,2021-9-5
12934551,248589537,2021-8-30
